ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CTP9,small_airport,Donaldson Airport,1902,NA,CA,CA-QC,Kattiniq,CTP9,YAU,CTP9,"-73.3214035034, 61.6622009277"
CTQ2,small_airport,Weller Airport,1250,NA,CA,CA-QC,Stanstead,CTQ2,,CTQ2,"-72.03500366210938, 45.034400939941406"
CTQ3,seaplane_base,Aguanish Seaplane Base,,NA,CA,CA-QC,Aguanish,CTQ3,,CTQ3,"-62.112499, 50.230595"
CTQ4,closed,Lennoxville (Airview) Airport,575,NA,CA,CA-QC,Lennoxville,CTQ4,,CTQ4,"-71.86250305179999, 45.3532981873"
CTQ6,small_airport,St-Anselme Airport,560,NA,CA,CA-QC,St-Anselme,CTQ6,,CTQ6,"-70.95500183105469, 46.62189865112305"
CTR4,heliport,Artopex Plus Heliport,295,NA,CA,CA-QC,Granby,CTR4,,CTR4,"-72.76609802246094, 45.39080047607422"
CTR5,closed,Val-D'Or / L'Escale Heliport,1010,NA,CA,CA-QC,Val-D'Or,CTR5,,CTR5,"-77.8074422479, 48.103592916"
CTR6,small_airport,St-Basile (Marcotte) Airport,300,NA,CA,CA-QC,St-Basile,CTR6,,CTR6,"-71.82640075683594, 46.783599853515625"
CTR7,seaplane_base,Ottawa / Rockcliffe Seaplane Base,,NA,CA,CA-ON,Ottawa,CTR7,TR7,CTR7,"-75.64254283910002, 45.463832946100005"
CTS2,heliport,Quebec / Beauport (HQ) Heliport,320,NA,CA,CA-QC,QuÃ©bec,CTS2,,CTS2,"-71.1941441149, 46.8795206445"
CTS3,seaplane_base,Lac Berthelot Seaplane Base,1250,NA,CA,CA-QC,,CTS3,,CTS3,"-76.1624984741211, 48.52000045776367"
CTS6,heliport,Hespero / Safron Residence Heliport,3192,NA,CA,CA-AB,,CTS6,,,"-114.427800179, 52.2804417191"
CTT2,closed,Chambly Airport,95,NA,CA,CA-QC,Chambly,CTT2,,CTT2,"-73.29530334472656, 45.401100158691406"
CTT5,small_airport,La Romaine Airport,90,NA,CA,CA-QC,La Romaine,CTT5,ZGS,CTT5,"-60.679401, 50.259701"
CTU2,small_airport,Fontanges Airport,1550,NA,CA,CA-QC,Fontanges,CTU2,YFG,CTU2,"-71.173301696777, 54.553901672363"
CTU4,closed,Lac Gagnon Seaplane Base,700,NA,CA,CA-QC,Duhamel,CTU4,YGA,CTU4,"-75.115303039551, 46.117500305176"
CTU5,small_airport,La TabatiÃ¨re Airport,102,NA,CA,CA-QC,La TabatiÃ¨re,CTU5,ZLT,CTU5,"-58.97560119628906, 50.8307991027832"
CTV2,seaplane_base,Lac-Des-Ãcorces Seaplane Base,753,NA,CA,CA-QC,,CTV2,,CTV2,"-75.4186019897461, 46.54859924316406"
CTX2,seaplane_base,Lac TrÃ©vet Seaplane Base,1420,NA,CA,CA-QC,,CTX2,,CTX2,"-76.13780212402344, 48.159400939941406"
CTY3,seaplane_base,Cascades Seaplane Base,340,NA,CA,CA-QC,Cantley,CTY3,,CTY3,"-75.86810302734375, 45.58580017089844"
CTY4,small_airport,Olds / North 40 Ranch Airstrip,3410,NA,CA,CA-AB,,CTY4,,,"-114.147820473, 51.9001705129"
CTY5,small_airport,Rougemont Airport,80,NA,CA,CA-QC,Rougemont,CTY5,,CTY5,"-73.03780364990234, 45.43830108642578"
cvb2,small_airport,Voisey's Bay,,NA,CA,CA-NL,,CVB2,,CVB2,"-62.0880555556, 56.3447222222"
CVF2,small_airport,Fergus (Vodarek Field),1380,NA,CA,CA-ON,,CVF2,,,"-80.28937339779999, 43.7232733033"
CVG8,heliport,Vegreville (St. Joseph's General Hospital) Heliport,2079,NA,CA,CA-AB,Vegreville,CVG8,,CVG8,"-112.03299713134766, 53.493900299072266"
CVH2,heliport,Vermilion Health Centre Heliport,2011,NA,CA,CA-AB,Vermilion,CVH2,,CVH2,"-110.87200164794922, 53.35580062866211"
CVH7,heliport,Vulcan (Hospital) Heliport,3451,NA,CA,CA-AB,Vulcan,CVH7,,CVH7,"-113.259558678, 50.3957910699"
CVK2,heliport,Viking Health Centre Helipad,2240,NA,CA,CA-AB,Viking,CVK2,,CVK2,"-111.776597, 53.100453"
CVL3,small_airport,Camden East / Varty Lake Airport,480,NA,CA,CA-ON,Camden East,CVL3,,CVL3,"-76.8051, 44.409"
CVM2,small_airport,Victor Mine Airport,284,NA,CA,CA-ON,Victor Diamond Mine,CVM2,,CVM2,"-83.924801, 52.832802"
CVP2,seaplane_base,Ãle Sainte-HÃ©lÃ¨ne Water Airport,23,NA,CA,CA-QC,MontrÃ©al,CVP2,,CVP2,"-73.5394, 45.5212"
CVS2,small_airport,Viking (South) Airport,2242,NA,CA,CA-AB,Viking,CVS2,,CVS2,"-111.9489974975586, 53.02560043334961"
CVS3,heliport,Surrey Memorial Hospital Helipad,245,NA,CA,CA-BC,Vancouver,CVS3,,CVS3,"-122.844, 49.1759"
CVW2,seaplane_base,Vernon/Wildlife Seaplane Base,1122,NA,CA,CA-BC,,CVW2,,CVW2,"-119.34400177001953, 50.24359893798828"
CWB2,small_airport,Bracebridge West Airfield,755,NA,CA,CA-ON,,CWB2,,CWB2,"-79.399828, 45.059008"
CWC1,small_airport,White City (Radomsky) Airport,2020,NA,CA,CA-SK,White City,CWC1,,CWC1,"-104.30599975585938, 50.439701080322266"
CWC2,heliport,Kelowna (Wildcat Helicopters) Heliport,1640,NA,CA,CA-BC,Kelowna,CWC2,,CWC2,"-119.579229355, 49.8674232001"
CWC4,heliport,Wetaskiwin (Hospital & Care Centre) Heliport,2494,NA,CA,CA-AB,Wetaskiwin,CWC4,,CWC4,"-113.368070126, 52.9884341311"
CWCV,heliport,Nootka Lightstation Helipad,48,NA,CA,CA-BC,San Rafael Island,CWCV,,BH6,"-126.616383, 49.59225"
CWD2,heliport,Alta Heliport,733,NA,CA,CA-ON,Collingwood,CWD2,,CWD2,"-80.354, 44.5294"
CWD3,heliport,Hamilton/Waterdown Heliport,795,NA,CA,CA-ON,Hamilton,CWD3,,CWD3,"-79.9361, 43.3243"
cwf2,small_airport,Walter's Falls (Piper Way) Airfield,1400,NA,CA,CA-ON,,CWF2,,,"-80.62147378920001, 44.463879951"
CWG2,heliport,Winnipeg (City of Winnipeg) Heliport,763,NA,CA,CA-MB,Winnipeg,CWG2,,CWG2,"-97.095553, 49.900473"
CWH2,heliport,Wainwright (Health Centre) Heliport,2262,NA,CA,CA-AB,Wainwright,CWH2,,CWH2,"-110.864734948, 52.8429785277"
CWH3,heliport,Woodstock (Hospital) Heliport,1046,NA,CA,CA-ON,,CWH3,,,"-80.7544201612, 43.105557566"
CWH4,heliport,Winchester District Memorial Hospital Heliport,256,NA,CA,CA-ON,Ottawa,CWH4,,CWH4,"-75.3549, 45.088"
CWJC,small_airport,Ennadai Lake Airport,1021,NA,CA,CA-NU,Ennadai,CWJC,,,"-100.9, 61.1333333333"
cwp3,heliport,Leslieville / W. Pidhirney Residence Heliport,3130,NA,CA,CA-AB,,CWP3,,,"-114.571346641, 52.3592741411"
CWZM,heliport,Boat Bluff Lighthouse Helipad,44,NA,CA,CA-BC,Sarah Island,CWZM,,AC6,"-128.524586, 52.643733"
CYAB,small_airport,Arctic Bay Airport,72,NA,CA,CA-NU,Arctic Bay,CYAB,YAB,,"-85.0425052643, 73.0057668174"
CYAC,medium_airport,Cat Lake Airport,1344,NA,CA,CA-ON,Cat Lake,CYAC,YAC,,"-91.82440185546875, 51.72719955444336"
CYAD,small_airport,La Grande-3 Airport,775,NA,CA,CA-QC,La Grande-3,CYAD,YAR,YAD,"-76.19640350339999, 53.5717010498"
